"id";"disease_code";"disease_name";"year";"location";"age";"sex";"cases";"cases_100k";"population"
1;"A01(A01.0)";"Typhoid fever";2005;"village";"0-3";"women";0;0.0;3355220
2;"A01(A01.1-A 01.3)";"Paratyphoid fever";2005;"village";"0-3";"women";0;0.0;3355220
3;"A02(A02.0-A02.2, A02.8,A02.9)";"Salonellosis";2005;"village";"0-3";"women";61;1.82;3355220
4;"A03(A03.0-A03.9)";"Shigellosis";2005;"village";"0-3";"women";6;0.18;3355220
5;"A04(A04.0-A04.8)";"Bacterial gastrointestinal infections";2005;"village";"0-3";"women";112;3.34;3355220
6;"A04(A04.0-A04.4)";"Bacterial gastrointestinal infections";2005;"village";"0-3";"women";11;0.33;3355220
7;"A04(A04.3)";"E.coli infection";2005;"village";"0-3";"women";0;0.0;3355220
8;"A04(A04.5)";"Bacterial gastrointestinal infections";2005;"village";"0-3";"women";38;1.13;3355220
9;"A04(A04.6)";"Bacterial gastrointestinal infections";2005;"village";"0-3";"women";26;0.77;3355220
10;"A04.9, A09";"Bacterial gastrointestinal infections";2005;"village";"0-3";"women";239;7.12;3355220
11;"A08(A08.0-A08.3,A08.5)";"Virus gastrointestinal infections";2005;"village";"0-3";"women";232;6.91;3355220
12;"A08(A08.0)";"Rotavirus gastroenteriti";2005;"village";"0-3";"women";190;5.66;3355220
13;"A08(A08.1)";"Virus gastrointestinal infections";2005;"village";"0-3";"women";20;0.6;3355220
14;"A08(A08.4)";"Virus gastrointestinal infections";2005;"village";"0-3";"women";40;1.19;3355220
15;"A05(A05.0-A05.4, A05.8, A05.9)";"Other toxic infections";2005;"village";"0-3";"women";1;0.03;3355220
16;"A15(A15.0-A15.9), A19";"Tuberculosis";2005;"village";"0-3";"women";0;0.0;3355220
17;"A17, A18";"Tuberculosis";2005;"village";"0-3";"women";0;0.0;3355220
18;"A21(A21.0-A21.3, A21.7-A21.9)";"Tularemia";2005;"village";"0-3";"women";0;0.0;3355220
19;"A22(A22.0-A22.2, A22.7-A22.9)";"Anthrax";2005;"village";"0-3";"women";0;0.0;3355220
20;"A23(A23.0-A23.3, A23.8,A23.9)";"Brucellosis";2005;"village";"0-3";"women";0;0.0;3355220
21;"A27(A27.0,A27.8, A27.9)";"Leptospirosis";2005;"village";"0-3";"women";0;0.0;3355220
22;"A28.2";"Yersinia pestis";2005;"village";"0-3";"women";0;0.0;3355220
23;"A32(A32.0,A32.1,A32.7-A32.9)";"Listeriosis";2005;"village";"0-3";"women";0;0.0;3355220
24;"A33,A34,A35";"Tetanus";2005;"village";"0-3";"women";0;0.0;3355220
25;"A36(A36.0-A36.3, A36.8,A36.9)";"Diphtheria";2005;"village";"0-3";"women";0;0.0;3355220
26;"A37(A37.0,A37.1, A37.8,
A37.9)";"Whooping cough";2005;"village";"0-3";"women";8;0.24;3355220
27;"A38";"Scarlet fever";2005;"village";"0-3";"women";19;0.57;3355220
28;"A39(A39.0-A39.5, A39.8,A39.9)";"Meningococcal disease";2005;"village";"0-3";"women";7;0.21;3355220
29;"G00(G00.0-G00.3, G00.8,G00.9)";"Bacterial meningitis";2005;"village";"0-3";"women";2;0.06;3355220
30;"A87(A87.0-A87.2, A87.8,A87.9)";"Virus meningitis";2005;"village";"0-3";"women";1;0.03;3355220
31;"A40.3,G00.1,J13";"Pneumococcal infection";2005;"village";"0-3";"women";6;0.18;3355220
32;"A41.3, A49.2, G00.0, J14";"Haemophilus influenzae disease";2005;"village";"0-3";"women";1;0.03;3355220
33;"A69.2";"Lyme disease";2005;"village";"0-3";"women";1;0.03;3355220
34;"A70";"Chlamydia psittaci infection";2005;"village";"0-3";"women";0;0.0;3355220
35;"A56";"Chlamydia";2005;"village";"0-3";"women";0;0.0;3355220
36;"A75 (A75.0, A75.1)";"Epidemic Typhus";2005;"village";"0-3";"women";0;0.0;3355220
37;"A80(A80.0-A80.4,A80.9)";"Poliomyelitis";2005;"village";"0-3";"women";0;0.0;3355220
38;"A82(A82.0, A82.1, A82.9)";"Rabies";2005;"village";"0-3";"women";0;0.0;3355220
39;"A84(A84.0, A84.1, A84.9)";"Tick-borne meningoencephalitis";2005;"village";"0-3";"women";0;0.0;3355220
40;"B01(B01.0-B01.2,B01.8,B01.9)";"Chickenpox";2005;"village";"0-3";"women";315;9.39;3355220
41;"B05";"Measles";2005;"village";"0-3";"women";0;0.0;3355220
42;"B06";"Rubella";2005;"village";"0-3";"women";8;0.24;3355220
43;"P35.0";"Rubella congenital";2005;"village";"0-3";"women";0;0.0;3355220
44;"B15-B19";"Virus hepatitis";2005;"village";"0-3";"women";1;0.03;3355220
45;"B15";"Hepatitis A";2005;"village";"0-3";"women";1;0.03;3355220
46;"B16.2, B16.9";"Hepatitis B";2005;"village";"0-3";"women";0;0.0;3355220
47;"B17.1";"Hepatitis C";2005;"village";"0-3";"women";0;0.0;3355220
48;"B17.2";"Hepatitis E";2005;"village";"0-3";"women";0;0.0;3355220
49;"B16.0,B16.1, B17.0";"Hepatitis D";2005;"village";"0-3";"women";0;0.0;3355220
50;"B20, B21, B22, B24";"HIV";2005;"village";"0-3";"women";0;0.0;3355220
51;"B23";"HIV related diseases";2005;"village";"0-3";"women";0;0.0;3355220
52;"Z21";"HIV";2005;"village";"0-3";"women";0;0.0;3355220
53;"A51-A53";"Syphilis";2005;"village";"0-3";"women";0;0.0;3355220
54;"A50(A50.0-A50.7, A50.9)";"Congenital syphilis";2005;"village";"0-3";"women";0;0.0;3355220
55;"A54";"Gonococcal infection";2005;"village";"0-3";"women";0;0.0;3355220
56;"B26";"Mumps";2005;"village";"0-3";"women";1;0.03;3355220
57;"B25(B25.0-B25.2, B25.8, B25.9)";"Cytomegalovirus diseases";2005;"village";"0-3";"women";0;0.0;3355220
58;"P35.1";"Cytomegalovirus diseases congenital";2005;"village";"0-3";"women";0;0.0;3355220
59;"B27";"Infectious mononucleosis";2005;"village";"0-3";"women";3;0.09;3355220
60;"J00-J06";"Upper respiratory tract infection";2005;"village";"0-3";"women";9441;281.38;3355220
61;"J10,J11";"Influenza";2005;"village";"0-3";"women";146;4.35;3355220
62;"A48.1, A48.2";"Legionellosis";2005;"village";"0-3";"women";0;0.0;3355220
63;"A06(A06.0-A06.9), A07(A07.0, A07.3,A07.9)";"Amebiasis";2005;"village";"0-3";"women";0;0.0;3355220
64;"A07.1";"Giardiasis";2005;"village";"0-3";"women";0;0.0;3355220
65;"A07.2";"Cryptosporidiosis";2005;"village";"0-3";"women";0;0.0;3355220
66;"B50,B51,B52,B53,B54";"Malaria";2005;"village";"0-3";"women";0;0.0;3355220
67;"B58(B58.0-B58.3, B58.8,B58.9)";"Toxoplasmosis";2005;"village";"0-3";"women";0;0.0;3355220
68;"P37.1";"Toxoplasmosis congenital";2005;"village";"0-3";"women";0;0.0;3355220
69;"B67(B67.0-B67.9)";"Cystic echinocccosis";2005;"village";"0-3";"women";0;0.0;3355220
70;"B68(B68.0, B68.1, B68.9)";"Taeniasis";2005;"village";"0-3";"women";0;0.0;3355220
71;"B69(B69.0,B69.1,B69.8,B69.9)";"Cysticercosis";2005;"village";"0-3";"women";0;0.0;3355220
72;"B70.0";"Diphyllobothriasis";2005;"village";"0-3";"women";0;0.0;3355220
73;"B71.0";"Hymenolepiasis";2005;"village";"0-3";"women";0;0.0;3355220
74;"B75";"Trichinellosis";2005;"village";"0-3";"women";0;0.0;3355220
75;"B77(B77.0,B77.8, B77.9)";"Ascariasis";2005;"village";"0-3";"women";47;1.4;3355220
76;"B79";"Trichuriasis";2005;"village";"0-3";"women";0;0.0;3355220
77;"B80";"Enterobiasis";2005;"village";"0-3";"women";114;3.4;3355220
78;"B83.0";"Toxocariasis";2005;"village";"0-3";"women";6;0.18;3355220
79;"B55-B57,B65,B66, B72-B74,B78,B81";"Rare tropical infectious disease";2005;"village";"0-3";"women";0;0.0;3355220
80;"B85";"Pediculosis (insects)";2005;"village";"0-3";"women";20;0.6;3355220
81;"B86";"Scabies";2005;"village";"0-3";"women";80;2.38;3355220
82;"B35(B35.0-B35.6, B35.8,B35.9)";"Dermatophytosis";2005;"village";"0-3";"women";17;0.51;3355220
83;"A00(A00.0,A00.1,A00.9)";"Cholera";2005;"village";"0-3";"women";0;0.0;3355220
84;"A20(A20.0-A20.3, A20.7-A20.9)";"Plague";2005;"village";"0-3";"women";0;0.0;3355220
85;"B04";"Monkeypox";2005;"village";"0-3";"women";0;0.0;3355220
86;"B03";"Smallpox";2005;"village";"0-3";"women";0;0.0;3355220
87;"A78";"Q fever";2005;"village";"0-3";"women";0;0.0;3355220
88;"A81.0";"Creutzfeldt-Jakob disease";2005;"village";"0-3";"women";0;0.0;3355220
89;"A83(A83.0-A83.6, A83.8, A83.9)";"Mosquito encephalitis";2005;"village";"0-3";"women";0;0.0;3355220
90;"A90";"Dengue fever";2005;"village";"0-3";"women";0;0.0;3355220
91;"A91";"Dengue hemorrhagic fever";2005;"village";"0-3";"women";0;0.0;3355220
92;"A92(A92.0-A92.2,A92.4,A92.8,A92.9)";"Others mosquito fevers";2005;"village";"0-3";"women";0;0.0;3355220
93;"A95 (A95.0, A95.1,A95.9)";"Yellow fever";2005;"village";"0-3";"women";0;0.0;3355220
94;"A96.2";"Lassa fever";2005;"village";"0-3";"women";0;0.0;3355220
95;"A98 (98.0- 98.5,A98.8)";"Other hemorrhagic fever";2005;"village";"0-3";"women";0;0.0;3355220
96;"A98.3";"Marburg virus disease ";2005;"village";"0-3";"women";0;0.0;3355220
97;"A98.4";"Ebola virus disease";2005;"village";"0-3";"women";0;0.0;3355220
98;"A98.5";"Hemorrhagic fever with liver syndrome";2005;"village";"0-3";"women";0;0.0;3355220
99;"A01(A01.0)";"Typhoid fever";2006;"village";"0-3";"women";0;0.0;3289835
100;"A01(A01.1-A 01.3)";"Paratyphoid fever";2006;"village";"0-3";"women";0;0.0;3289835
101;"A02(A02.0-A02.2, A02.8,A02.9)";"Salonellosis";2006;"village";"0-3";"women";70;2.13;3289835
102;"A03(A03.0-A03.9)";"Shigellosis";2006;"village";"0-3";"women";6;0.18;3289835
103;"A04(A04.0-A04.8)";"Bacterial gastrointestinal infections";2006;"village";"0-3";"women";79;2.4;3289835
104;"A04(A04.0-A04.4)";"Bacterial gastrointestinal infections";2006;"village";"0-3";"women";9;0.27;3289835
105;"A04(A04.3)";"E.coli infection";2006;"village";"0-3";"women";0;0.0;3289835
106;"A04(A04.5)";"Bacterial gastrointestinal infections";2006;"village";"0-3";"women";23;0.7;3289835
107;"A04(A04.6)";"Bacterial gastrointestinal infections";2006;"village";"0-3";"women";21;0.64;3289835
108;"A04.9, A09";"Bacterial gastrointestinal infections";2006;"village";"0-3";"women";182;5.53;3289835
109;"A08(A08.0-A08.3,A08.5)";"Virus gastrointestinal infections";2006;"village";"0-3";"women";351;10.67;3289835
110;"A08(A08.0)";"Rotavirus gastroenteriti";2006;"village";"0-3";"women";328;9.97;3289835
111;"A08(A08.1)";"Virus gastrointestinal infections";2006;"village";"0-3";"women";8;0.24;3289835
112;"A08(A08.4)";"Virus gastrointestinal infections";2006;"village";"0-3";"women";60;1.82;3289835
113;"A05(A05.0-A05.4, A05.8, A05.9)";"Other toxic infections";2006;"village";"0-3";"women";4;0.12;3289835
114;"A15(A15.0-A15.9), A19";"Tuberculosis";2006;"village";"0-3";"women";0;0.0;3289835
115;"A17, A18";"Tuberculosis";2006;"village";"0-3";"women";0;0.0;3289835
116;"A21(A21.0-A21.3, A21.7-A21.9)";"Tularemia";2006;"village";"0-3";"women";0;0.0;3289835
117;"A22(A22.0-A22.2, A22.7-A22.9)";"Anthrax";2006;"village";"0-3";"women";0;0.0;3289835
118;"A23(A23.0-A23.3, A23.8,A23.9)";"Brucellosis";2006;"village";"0-3";"women";0;0.0;3289835
119;"A27(A27.0,A27.8, A27.9)";"Leptospirosis";2006;"village";"0-3";"women";0;0.0;3289835
120;"A28.2";"Yersinia pestis";2006;"village";"0-3";"women";0;0.0;3289835
121;"A32(A32.0,A32.1,A32.7-A32.9)";"Listeriosis";2006;"village";"0-3";"women";0;0.0;3289835
122;"A33,A34,A35";"Tetanus";2006;"village";"0-3";"women";0;0.0;3289835
123;"A36(A36.0-A36.3, A36.8,A36.9)";"Diphtheria";2006;"village";"0-3";"women";0;0.0;3289835
124;"A37(A37.0,A37.1, A37.8,
A37.9)";"Whooping cough";2006;"village";"0-3";"women";1;0.03;3289835
125;"A38";"Scarlet fever";2006;"village";"0-3";"women";45;1.37;3289835
126;"A39(A39.0-A39.5, A39.8,A39.9)";"Meningococcal disease";2006;"village";"0-3";"women";9;0.27;3289835
127;"G00(G00.0-G00.3, G00.8,G00.9)";"Bacterial meningitis";2006;"village";"0-3";"women";0;0.0;3289835
128;"A87(A87.0-A87.2, A87.8,A87.9)";"Virus meningitis";2006;"village";"0-3";"women";2;0.06;3289835
129;"A40.3,G00.1,J13";"Pneumococcal infection";2006;"village";"0-3";"women";1;0.03;3289835
130;"A41.3, A49.2, G00.0, J14";"Haemophilus influenzae disease";2006;"village";"0-3";"women";0;0.0;3289835
131;"A69.2";"Lyme disease";2006;"village";"0-3";"women";2;0.06;3289835
132;"A70";"Chlamydia psittaci infection";2006;"village";"0-3";"women";0;0.0;3289835
133;"A56";"Chlamydia";2006;"village";"0-3";"women";0;0.0;3289835
134;"A75 (A75.0, A75.1)";"Epidemic Typhus";2006;"village";"0-3";"women";0;0.0;3289835
135;"A80(A80.0-A80.4,A80.9)";"Poliomyelitis";2006;"village";"0-3";"women";0;0.0;3289835
136;"A82(A82.0, A82.1, A82.9)";"Rabies";2006;"village";"0-3";"women";0;0.0;3289835
137;"A84(A84.0, A84.1, A84.9)";"Tick-borne meningoencephalitis";2006;"village";"0-3";"women";0;0.0;3289835
138;"B01(B01.0-B01.2,B01.8,B01.9)";"Chickenpox";2006;"village";"0-3";"women";337;10.24;3289835
